"","Age","Gender","Education.Level","Job.Title","Years.of.Experience","Salary","Country","Race","Senior"
"1568",43,"Male",3,"Software Engineer Manager",13,180000,"China","White",0
"1569",27,"Female",2,"NaN",NA,70000,"Australia","Australian",0
"1570",49,"Male",3,"NaN",15,185000,"USA","African American",0
"1571",48,"Male",3,"Project Engineer",16,190000,"UK","Mixed",1
"1572",31,"Male",2,"Project Engineer",6,125000,"Canada","Asian",1
"1573",40,"Male",3,"Software Engineer",12,160000,"China","Chinese",1
"1574",36,"Male",2,"Software Engineer",8,140000,"UK","Welsh",1
"1575",54,"Male",3,"Software Engineer Manager",17,195000,"Canada","Asian",0
"1576",27,"Male",1,"Front end Developer",2,70000,"Australia","Australian",0
"1577",28,"Male",1,"Front end Developer",2,70000,"USA","African American",0
"1578",44,"Male",2,"NaN",NA,170000,"China","White",1
"1579",43,"Male",3,"Project Engineer",13,185000,"China","Chinese",1
"1580",54,"Male",3,"Software Engineer Manager",17,195000,"UK","Asian",0
"1581",32,"Male",2,"Back end Developer",6,130000,"Australia","Australian",0
"1582",38,"Male",2,"Software Engineer",10,155000,"UK","Mixed",1
"1583",49,"Male",3,"Software Engineer Manager",15,185000,"UK","Mixed",0
"1584",27,"Male",1,"Front end Developer",3,80000,"Canada","Black",0
"1585",54,"Male",3,"Software Engineer Manager",17,195000,"Australia","White",0
"1586",31,"Male",2,"Project Engineer",7,135000,"UK","White",1
"1587",24,"Male",1,"Back end Developer",1,55000,"Canada","White",0
"1588",48,"Male",3,"Project Engineer",16,190000,"USA","White",1
"1589",27,"Female",2,"Back end Developer",2,70000,"Canada","Black",0
"1590",43,"Male",3,"Project Engineer",13,185000,"USA","Hispanic",1
"1591",44,"Male",2,"NaN",11,170000,"Canada","Asian",1
"1592",37,"Male",2,"Software Engineer",9,150000,"Canada","Asian",1
"1593",56,"Male",3,"Software Engineer Manager",17,195000,"UK","Welsh",0
"1594",28,"Male",1,"Front end Developer",2,70000,"USA","Hispanic",0
"1595",54,"Male",3,"Software Engineer Manager",17,195000,"Canada","Asian",0
"1596",31,"Male",2,"Project Engineer",6,125000,"USA","Asian",1
"1597",49,"Male",3,"Software Engineer Manager",NA,185000,"China","White",0
"1598",54,"Male",3,"NaN",NA,195000,"Canada","Black",0
"1599",27,"Male",1,"Front end Developer",3,80000,"Australia","White",0
"1600",42,"Male",3,"Software Engineer",14,170000,"China","Korean",1
"1601",38,"Male",2,"Software Engineer",10,155000,"China","White",1
"1602",43,"Male",3,"Project Engineer",NA,185000,"Canada","White",1
"1603",27,"Male",1,"Front end Developer",2,NA,"Canada","Asian",0
"1604",31,"Male",2,"Full Stack Engineer",7,140000,"Canada","Asian",0
"1605",54,"Male",3,"Software Engineer Manager",17,195000,"UK","Asian",0
"1606",36,"Male",2,"Software Engineer",8,140000,"Canada","Black",1
"1607",27,"Female",2,"Back end Developer",2,70000,"USA","African American",0
"1608",49,"Male",3,"Software Engineer Manager",15,185000,"China","Chinese",0
"1609",48,"Male",3,"Project Engineer",16,190000,"UK","Mixed",1
"1610",31,"Male",2,"Project Engineer",NA,135000,"USA","African American",1
"1611",40,"Female",3,"Software Engineer",12,160000,"UK","White",1
"1612",24,"Male",1,"Front end Developer",1,55000,"UK","Welsh",0
"1613",27,"Male",1,"Front end Developer",3,80000,"China","Chinese",0
"1614",43,"Male",3,"Project Engineer",13,185000,"USA","White",1
"1615",27,"Female",2,"Full Stack Engineer",3,1e+05,"UK","Mixed",0
"1616",49,"Male",3,"Software Engineer Manager",15,185000,"UK","Asian",0
"1617",48,"Male",3,"Project Engineer",16,190000,"USA","White",1
"1618",31,"Male",2,"Project Engineer",6,125000,"UK","White",1
"1619",40,"Male",3,"Software Engineer",12,160000,"USA","Hispanic",1
"1620",36,"Male",2,"Software Engineer",NA,140000,"China","Korean",1
"1621",54,"Male",3,"Software Engineer Manager",17,195000,"UK","Asian",0
"1622",27,"Male",1,"NaN",NA,70000,"Australia","Australian",0
"1623",28,"Male",1,"Front end Developer",2,70000,"Canada","Black",0
"1624",44,"Male",2,"Project Engineer",11,170000,"Canada","White",1
"1625",43,"Male",3,"Project Engineer",13,185000,"UK","Welsh",1
"1626",54,"Male",3,"Software Engineer Manager",17,195000,"Canada","Black",0
"1627",32,"Male",2,"Back end Developer",6,130000,"Canada","Asian",0
"1628",38,"Male",2,"Software Engineer",10,155000,"Canada","White",1
"1629",49,"Male",3,"Software Engineer Manager",15,NA,"Canada","White",0
"1630",27,"Male",1,"Front end Developer",3,80000,"USA","African American",0
"1631",54,"Male",3,"Software Engineer Manager",NA,195000,"China","White",0
"1632",31,"Male",2,"Project Engineer",7,135000,"Australia","Asian",1
"1633",24,"Male",1,"Back end Developer",1,55000,"USA","Hispanic",0
"1634",48,"Male",3,"Project Engineer",16,190000,"Canada","Asian",1
"1635",27,"Female",2,"Back end Developer",2,70000,"UK","Mixed",0
"1636",43,"Male",3,"Project Engineer",13,185000,"UK","Mixed",1
"1637",44,"Male",2,"Project Engineer",11,170000,"USA","African American",1
"1638",37,"Male",2,"Software Engineer",9,150000,"UK","Asian",1
"1639",56,"Male",3,"NaN",17,195000,"USA","White",0
"1640",28,"Male",1,"Front end Developer",2,70000,"Canada","Black",0
"1641",54,"Male",3,"Software Engineer Manager",17,195000,"USA","African American",0
"1642",31,"Male",2,"Project Engineer",NA,125000,"China","White",1
"1643",49,"Male",3,"NaN",15,185000,"Australia","White",0
"1644",54,"Male",3,"Software Engineer Manager",17,195000,"China","Chinese",0
"1645",27,"Male",1,"Front end Developer",NA,80000,"UK","Welsh",0
"1646",42,"Male",3,"Software Engineer",14,170000,"China","White",1
"1647",38,"Male",2,"Software Engineer",NA,155000,"Australia","Asian",1
"1648",36,"Male",1,"Front end Developer",7,120000,"UK","Asian",0
"1649",29,"Female",2,"Back end Developer",NA,90000,"USA","Asian",0
"1650",41,"Female",3,"Software Engineer Manager",14,180000,"UK","Asian",0
"1651",33,"Male",1,"NaN",7,130000,"UK","Welsh",0
"1652",42,"Male",3,"Software Engineer",NA,170000,"China","Korean",1
"1653",28,"Male",1,"Back end Developer",2,70000,"UK","Welsh",0
"1654",55,"Male",3,"Software Engineer Manager",18,210000,"China","White",0
"1655",26,"Female",2,"Front end Developer",1,55000,"Canada","Asian",0
"1656",47,"Male",3,"Project Engineer",16,190000,"UK","Welsh",1
"1657",44,"Female",3,"Software Engineer Manager",NA,165000,"Canada","Black",0
"1658",30,"Male",2,"Full Stack Engineer",5,105000,"China","Korean",0
"1659",39,"Female",2,"Software Engineer",11,160000,"UK","Welsh",1
"1660",32,"Male",1,"Front end Developer",NA,110000,"Canada","Black",0
"1661",50,"Male",3,"NaN",17,195000,"China","Korean",0
"1662",27,"Male",1,"Back end Developer",3,NA,"China","Chinese",0
"1663",46,"Male",3,"Project Engineer",14,180000,"UK","White",1
"1664",25,"Female",1,"Front end Developer",1,NA,"Australia","White",0
"1665",43,"Male",3,"Project Engineer",13,185000,"UK","Welsh",1
"1666",35,"Male",1,"Back end Developer",8,140000,"Canada","Black",0
"1667",29,"Female",2,"Back end Developer",NA,90000,"UK","Mixed",0
"1668",40,"Female",3,"Software Engineer",12,NA,"USA","White",1
"1669",35,"Male",1,"Full Stack Engineer",8,145000,"China","White",0
"1670",41,"Male",3,"Project Engineer",13,185000,"Australia","White",1
"1671",30,"Male",2,"Full Stack Engineer",5,105000,"UK","White",0
"1672",33,"Male",1,"Front end Developer",NA,110000,"Australia","Asian",0
"1673",55,"Male",3,"Software Engineer Manager",18,210000,"UK","Asian",0
"1674",26,"Female",2,"Front end Developer",1,55000,"UK","Mixed",0
"1675",47,"Male",3,"Project Engineer",16,NA,"USA","African American",1
"1676",44,"Female",3,"Software Engineer Manager",11,165000,"UK","Asian",0
"1677",30,"Male",2,"Full Stack Engineer",NA,105000,"USA","White",0
"1678",39,"Female",2,"Software Engineer",11,160000,"China","Korean",1
"1679",32,"Male",1,"NaN",6,110000,"USA","Hispanic",0
"1680",50,"Male",3,"Software Engineer Manager",17,195000,"Australia","Australian",0
"1681",27,"Male",1,"Back end Developer",3,85000,"UK","Mixed",0
"1682",46,"Male",3,"Project Engineer",NA,180000,"Australia","Asian",1
"1683",25,"Female",1,"Front end Developer",1,55000,"UK","Asian",0
"1684",43,"Male",3,"Project Engineer",13,185000,"USA","African American",1
"1685",35,"Male",1,"Back end Developer",8,140000,"Australia","Asian",0
"1686",29,"Female",2,"Back end Developer",3,90000,"Canada","Black",0
"1687",40,"Female",3,"Software Engineer",12,160000,"USA","Hispanic",1
"1688",35,"Male",1,"Full Stack Engineer",8,145000,"UK","Mixed",0
"1689",41,"Male",3,"Project Engineer",13,185000,"UK","White",1
"1690",30,"Male",2,"Full Stack Engineer",5,105000,"Australia","Asian",0
"1691",33,"Male",1,"Front end Developer",6,110000,"USA","African American",0
"1692",55,"Male",3,"Software Engineer Manager",18,210000,"China","Chinese",0
"1693",26,"Female",2,"Front end Developer",NA,55000,"Australia","Australian",0
"1694",47,"Male",3,"Project Engineer",16,190000,"USA","Hispanic",1
"1695",44,"Female",3,"Software Engineer Manager",11,NA,"Canada","Black",0
"1696",30,"Male",2,"Full Stack Engineer",5,105000,"USA","African American",0
"1697",39,"Female",2,"Software Engineer",11,160000,"Canada","White",1
"1698",32,"Male",1,"Front end Developer",NA,110000,"Australia","Australian",0
"1699",50,"Male",3,"Software Engineer Manager",17,195000,"Australia","White",0
"1700",27,"Male",1,"Back end Developer",3,85000,"Canada","Black",0
"1701",46,"Male",3,"Project Engineer",14,180000,"Australia","White",1
"1702",25,"Female",1,"NaN",1,55000,"USA","White",0
"1703",43,"Male",3,"Project Engineer",13,185000,"China","White",1
"1704",35,"Male",1,"Back end Developer",8,NA,"Australia","Australian",0
"1705",29,"Female",2,"Back end Developer",3,90000,"Canada","Black",0
"1706",40,"Female",3,"Software Engineer",NA,160000,"Australia","Asian",1
"1707",35,"Male",1,"Full Stack Engineer",8,145000,"Canada","Asian",0
"1708",41,"Male",3,"Project Engineer",13,185000,"Australia","Australian",1
"1709",30,"Male",2,"Full Stack Engineer",5,NA,"UK","Asian",0
"1710",33,"Male",1,"Front end Developer",6,110000,"Australia","Australian",0
"1711",55,"Male",3,"Software Engineer Manager",18,210000,"UK","Asian",0
"1712",26,"Female",2,"Front end Developer",1,55000,"USA","Asian",0
"1713",47,"Male",3,"Project Engineer",16,190000,"Australia","Asian",1
"1714",44,"Female",3,"Software Engineer Manager",11,165000,"China","White",0
"1715",30,"Male",2,"Full Stack Engineer",5,105000,"China","Korean",0
"1716",39,"Female",2,"Software Engineer",NA,160000,"Australia","Asian",1
"1717",32,"Male",1,"Front end Developer",6,110000,"USA","White",0
"1718",50,"Male",3,"Software Engineer Manager",17,195000,"Australia","Australian",0
"1719",27,"Male",1,"Back end Developer",NA,85000,"Canada","Black",0
"1720",46,"Male",3,"Project Engineer",14,180000,"UK","Welsh",1
"1721",25,"Female",1,"Front end Developer",1,55000,"UK","White",0
"1722",43,"Male",3,"Project Engineer",13,185000,"Australia","Asian",1
"1723",35,"Male",1,"Back end Developer",8,140000,"China","Chinese",0
"1724",29,"Female",2,"Back end Developer",3,90000,"Australia","White",0
"1725",40,"Female",3,"Software Engineer",12,160000,"Australia","White",1
"1726",35,"Male",1,"Full Stack Engineer",8,NA,"China","White",0
"1727",41,"Male",3,"Project Engineer",13,185000,"Australia","Asian",1
"1728",30,"Male",2,"Full Stack Engineer",NA,105000,"UK","White",0
"1729",33,"Male",1,"Front end Developer",6,NA,"USA","Asian",0
"1730",55,"Male",3,"Software Engineer Manager",18,210000,"USA","Hispanic",0
"1731",26,"Female",2,"Front end Developer",1,55000,"UK","Mixed",0
"1732",47,"Male",3,"Project Engineer",16,190000,"USA","African American",1
"1733",44,"Female",3,"Software Engineer Manager",11,165000,"China","Chinese",0
"1734",30,"Male",2,"Full Stack Engineer",5,105000,"UK","Mixed",0
"1735",39,"Female",2,"Software Engineer",NA,160000,"Australia","Asian",1
"1736",32,"Male",1,"Front end Developer",6,110000,"USA","Asian",0
"1737",50,"Male",3,"Software Engineer Manager",17,195000,"China","White",0
"1738",27,"Male",1,"Back end Developer",3,85000,"Australia","Asian",0
"1739",46,"Male",3,"Project Engineer",14,180000,"Canada","Black",1
"1740",25,"Female",1,"Front end Developer",1,55000,"Canada","Asian",0
"1741",43,"Male",3,"Project Engineer",NA,185000,"Australia","Asian",1
"1742",35,"Male",1,"Back end Developer",8,140000,"Australia","Australian",0
"1743",29,"Female",2,"Back end Developer",3,90000,"Australia","Asian",0
"1744",40,"Female",3,"Software Engineer",NA,160000,"China","Korean",1
"1745",35,"Male",1,"Full Stack Engineer",8,145000,"UK","Mixed",0
"1746",41,"Male",3,"Project Engineer",13,185000,"Canada","Black",1
"1747",30,"Male",2,"Full Stack Engineer",5,105000,"China","Korean",0
"1748",33,"Male",1,"Front end Developer",6,110000,"Canada","Asian",0
"1749",55,"Male",3,"Software Engineer Manager",18,NA,"USA","White",0
"1750",26,"Female",2,"Front end Developer",1,55000,"Australia","Australian",0
"1751",47,"Male",3,"Project Engineer",16,NA,"USA","African American",1
"1752",44,"Female",3,"Software Engineer Manager",11,165000,"Canada","Asian",0
"1753",30,"Male",2,"Full Stack Engineer",5,105000,"Australia","Asian",0
"1754",39,"Female",2,"Software Engineer",NA,160000,"Canada","White",1
"1755",32,"Male",1,"Front end Developer",6,110000,"Canada","Black",0
"1756",50,"Male",3,"Software Engineer Manager",NA,195000,"USA","White",0
"1757",27,"Male",1,"Back end Developer",3,85000,"USA","African American",0
"1758",46,"Male",3,"Project Engineer",NA,180000,"USA","African American",1
"1759",25,"Female",1,"Front end Developer",1,NA,"Australia","White",0
"1760",43,"Male",3,"Project Engineer",13,185000,"Australia","White",1
"1761",35,"Male",1,"Back end Developer",8,140000,"USA","African American",0
"1762",29,"Female",2,"Back end Developer",3,90000,"USA","Hispanic",0
"1763",40,"Female",3,"Software Engineer",12,160000,"China","Chinese",1
"1764",35,"Male",1,"Full Stack Engineer",NA,145000,"China","Chinese",0
"1765",41,"Male",3,"Project Engineer",13,185000,"USA","Asian",1
"1766",30,"Male",2,"Full Stack Engineer",5,105000,"Australia","White",0
"1767",33,"Male",1,"Front end Developer",6,110000,"Australia","Asian",0
"1768",55,"Male",3,"Software Engineer Manager",18,210000,"China","Korean",0
"1769",31,"Male",1,"Front end Developer",6,115000,"Australia","Australian",0
"1770",42,"Female",2,"Software Engineer Manager",13,170000,"Australia","Asian",0
"1771",27,"Female",1,"Back end Developer",3,80000,"Canada","Asian",0
"1772",51,"Male",3,"NaN",19,2e+05,"UK","Mixed",1
"1773",34,"Female",2,"Full Stack Engineer",7,130000,"Australia","White",0
"1774",38,"Male",1,"Software Engineer Manager",11,155000,"Canada","Asian",0
"1775",29,"Male",1,"Front end Developer",5,105000,"China","White",0
"1776",43,"Female",3,"Project Engineer",14,190000,"Australia","Australian",1
"1777",36,"Male",2,"Back end Developer",NA,140000,"USA","African American",0
"1778",48,"Male",3,"Software Engineer Manager",NA,185000,"Australia","Asian",0
"1779",35,"Female",1,"Full Stack Engineer",8,145000,"Australia","White",0
"1780",30,"Female",2,"NaN",4,90000,"China","Chinese",0
"1781",50,"Male",3,"Project Engineer",18,195000,"Australia","Australian",1
"1782",29,"Male",1,"Back end Developer",4,95000,"USA","Asian",0
"1783",41,"Male",2,"Software Engineer Manager",13,170000,"China","White",0
"1784",33,"Female",1,"Full Stack Engineer",NA,115000,"UK","Welsh",0
"1785",45,"Male",3,"Project Engineer",NA,185000,"UK","Mixed",1
"1786",28,"Female",1,"Front end Developer",2,NA,"USA","African American",0
"1787",39,"Female",2,"Software Engineer Manager",12,160000,"USA","African American",0
"1788",30,"Male",1,"Back end Developer",NA,1e+05,"UK","Mixed",0
"1789",46,"Male",3,"NaN",15,180000,"Canada","White",1
"1790",25,"Female",1,"Front end Developer",1,55000,"Canada","Black",0
"1791",42,"Male",3,"Software Engineer Manager",14,190000,"UK","Mixed",0
"1792",31,"Male",1,"Full Stack Engineer",6,115000,"Australia","Asian",0
"1793",49,"Female",3,"Project Engineer",17,195000,"Australia","Australian",1
"1794",36,"Male",2,"Back end Developer",9,150000,"Canada","White",0
"1795",33,"Female",1,"Full Stack Engineer",6,115000,"China","Chinese",0
"1796",45,"Male",3,"Software Engineer Manager",16,NA,"Canada","White",0
"1797",28,"Female",1,"Front end Developer",2,65000,"Canada","White",0
"1798",39,"Female",2,"Software Engineer Manager",NA,NA,"UK","Mixed",0
"1799",30,"Male",1,"Back end Developer",5,1e+05,"USA","African American",0
"1800",46,"Male",3,"NaN",15,180000,"USA","Hispanic",1
"1801",25,"Female",1,"Front end Developer",1,55000,"Australia","Asian",0
"1802",42,"Male",3,"Software Engineer Manager",14,190000,"China","Korean",0
"1803",31,"Male",1,"Full Stack Engineer",6,115000,"China","Chinese",0
"1804",49,"Female",3,"Project Engineer",17,NA,"USA","White",1
"1805",36,"Male",2,"Back end Developer",9,150000,"UK","White",0
"1806",33,"Female",1,"Full Stack Engineer",6,115000,"USA","Hispanic",0
"1807",45,"Male",3,"Software Engineer Manager",16,185000,"UK","White",0
"1808",28,"Female",1,"Front end Developer",2,65000,"UK","Welsh",0
"1809",39,"Female",2,"Software Engineer Manager",12,160000,"UK","Welsh",0
"1810",30,"Male",1,"Back end Developer",5,1e+05,"USA","African American",0
"1811",46,"Male",3,"Project Engineer",15,180000,"USA","Hispanic",1
"1812",25,"Female",1,"Front end Developer",1,55000,"UK","Asian",0
"1813",42,"Male",3,"Software Engineer Manager",NA,190000,"Australia","Asian",0
"1814",31,"Male",1,"Full Stack Engineer",NA,115000,"China","Chinese",0
"1815",49,"Female",3,"Project Engineer",17,195000,"Canada","Black",1
"1816",36,"Male",2,"Back end Developer",NA,150000,"China","Korean",0
"1817",33,"Female",1,"Full Stack Engineer",6,115000,"USA","White",0
"1818",45,"Male",3,"Software Engineer Manager",16,185000,"USA","Asian",0
"1819",28,"Female",1,"Front end Developer",2,65000,"Canada","Black",0
"1820",39,"Female",2,"Software Engineer Manager",12,160000,"UK","Welsh",0
"1821",30,"Male",1,"Back end Developer",NA,1e+05,"Australia","Australian",0
"1822",46,"Male",3,"Project Engineer",15,180000,"Canada","Asian",1
"1823",25,"Female",1,"Front end Developer",1,55000,"UK","Mixed",0
"1824",42,"Male",3,"Software Engineer Manager",14,190000,"China","Chinese",0
"1825",31,"Male",1,"Full Stack Engineer",6,115000,"China","Korean",0
"1826",49,"Female",3,"Project Engineer",17,195000,"UK","Welsh",1
"1827",36,"Male",2,"Back end Developer",9,150000,"Australia","Australian",0
"1828",33,"Female",1,"Full Stack Engineer",6,115000,"China","Korean",0
"1829",45,"Male",3,"Software Engineer Manager",16,185000,"USA","African American",0
"1830",28,"Female",1,"Front end Developer",2,65000,"China","White",0
"1831",39,"Female",2,"Software Engineer Manager",12,160000,"China","Korean",0
"1832",30,"Male",1,"Back end Developer",5,NA,"Canada","Asian",0
"1833",46,"Male",3,"Project Engineer",15,180000,"China","Korean",1
"1834",25,"Female",1,"NaN",1,55000,"USA","Asian",0
"1835",42,"Male",3,"Software Engineer Manager",NA,190000,"Australia","Australian",0
"1836",31,"Male",1,"Full Stack Engineer",6,115000,"Canada","Asian",0
"1837",49,"Female",3,"Project Engineer",17,195000,"Canada","Black",1
"1838",36,"Male",2,"Back end Developer",9,150000,"Canada","Asian",0
"1839",33,"Female",1,"Full Stack Engineer",6,115000,"Australia","Australian",0
"1840",45,"Male",3,"Software Engineer Manager",16,185000,"China","Chinese",0
"1841",28,"Female",1,"Front end Developer",2,65000,"Australia","Asian",0
"1842",39,"Female",2,"Software Engineer Manager",NA,160000,"Canada","Asian",0
"1843",30,"Male",1,"Back end Developer",5,1e+05,"UK","Asian",0
"1844",46,"Male",3,"Project Engineer",15,180000,"USA","African American",1
"1845",25,"Female",1,"Front end Developer",1,55000,"Australia","White",0
"1846",42,"Male",3,"Software Engineer Manager",14,190000,"Australia","Australian",0
"1847",31,"Male",1,"Full Stack Engineer",6,NA,"Canada","Asian",0
"1848",49,"Female",3,"NaN",NA,195000,"Canada","White",1
"1849",36,"Male",2,"Back end Developer",9,150000,"UK","Welsh",0
"1850",33,"Female",1,"Full Stack Engineer",6,115000,"USA","Asian",0
"1851",45,"Male",3,"Software Engineer Manager",16,185000,"UK","White",0
"1852",28,"Female",1,"Front end Developer",2,65000,"Australia","Australian",0
"1853",39,"Female",2,"Software Engineer Manager",12,NA,"Australia","White",0
"1854",30,"Male",1,"Back end Developer",5,1e+05,"USA","Asian",0
"1855",46,"Male",3,"Project Engineer",15,180000,"UK","White",1
"1856",25,"Female",1,"Front end Developer",1,55000,"USA","African American",0
"1857",42,"Male",3,"Software Engineer Manager",14,190000,"UK","Mixed",0
"1858",31,"Male",1,"Full Stack Engineer",6,115000,"UK","Welsh",0
"1859",49,"Female",3,"Project Engineer",NA,195000,"USA","African American",1
"1860",36,"Male",2,"Back end Developer",NA,150000,"Australia","Asian",0
"1861",33,"Female",1,"Full Stack Engineer",6,115000,"UK","Asian",0
"1862",45,"Male",3,"Software Engineer Manager",16,185000,"Australia","Asian",0
"1863",28,"Female",1,"Front end Developer",2,65000,"Canada","Asian",0
"1864",39,"Female",2,"Software Engineer Manager",12,160000,"Australia","White",0
"1865",30,"Male",1,"Back end Developer",5,1e+05,"Australia","Asian",0
"1866",46,"Male",3,"Project Engineer",15,NA,"Australia","Australian",1
"1867",25,"Female",1,"Front end Developer",1,NA,"China","Korean",0
"1868",42,"Male",3,"Software Engineer Manager",14,190000,"UK","Asian",0
"1869",31,"Male",1,"Full Stack Engineer",6,115000,"UK","White",0
"1870",49,"Female",3,"Project Engineer",17,195000,"Canada","White",1
"1871",36,"Male",2,"Back end Developer",9,150000,"UK","White",0
"1872",33,"Female",1,"Full Stack Engineer",6,NA,"UK","Welsh",0
"1873",45,"Male",3,"NaN",16,185000,"UK","White",0
"1874",28,"Female",1,"Front end Developer",2,65000,"USA","African American",0
"1875",39,"Female",2,"Software Engineer Manager",12,160000,"UK","Mixed",0
"1876",30,"Male",1,"Back end Developer",5,NA,"Canada","White",0
"1877",46,"Male",3,"Project Engineer",15,180000,"USA","African American",1
"1878",25,"Female",1,"Front end Developer",1,NA,"Australia","Australian",0
"1879",42,"Male",3,"Software Engineer Manager",14,190000,"USA","White",0
"1880",31,"Male",1,"Full Stack Engineer",6,NA,"Canada","White",0
"1881",49,"Female",3,"Project Engineer",17,195000,"China","Chinese",1
"1882",36,"Male",2,"Back end Developer",9,150000,"China","White",0
"1883",33,"Female",1,"Full Stack Engineer",6,NA,"Canada","Asian",0
"1884",45,"Male",3,"Software Engineer Manager",16,185000,"Australia","Australian",0
"1885",28,"Female",1,"Front end Developer",2,65000,"Australia","Australian",0
"1886",39,"Female",2,"Software Engineer Manager",12,160000,"UK","Welsh",0
"1887",30,"Male",1,"Back end Developer",5,1e+05,"Canada","Black",0
"1888",46,"Male",3,"Project Engineer",15,180000,"China","Chinese",1
"1889",25,"Female",1,"Front end Developer",1,550,"UK","Mixed",0
"1890",29,"Male",1,"NaN",NA,NA,"Australia","White",0
"1891",40,"Female",2,"Software Engineer Manager",12,160000,"USA","Hispanic",0
"1892",27,"Female",1,"Back end Developer",NA,80000,"UK","White",0
"1893",50,"Male",3,"Project Engineer",18,195000,"UK","White",1
"1894",33,"Female",2,"Full Stack Engineer",6,115000,"Canada","White",0
"1895",37,"Male",1,"Software Engineer Manager",10,150000,"UK","Asian",0
"1896",28,"Male",1,"Front end Developer",NA,65000,"UK","Asian",0
"1897",44,"Female",3,"Project Engineer",NA,190000,"Australia","Australian",1
"1898",35,"Male",2,"Back end Developer",8,140000,"UK","White",0
"1899",47,"Male",3,"NaN",16,185000,"Canada","Asian",0
"1900",34,"Female",1,"Full Stack Engineer",7,130000,"China","Korean",0
"1901",31,"Female",2,"Front end Developer",5,105000,"UK","Welsh",0
"1902",51,"Male",3,"Project Engineer",19,2e+05,"China","Chinese",1
"1903",30,"Male",1,"NaN",5,1e+05,"USA","White",0
"1904",42,"Male",2,"Software Engineer Manager",13,170000,"Canada","White",0
"1905",33,"Female",1,"Full Stack Engineer",NA,115000,"Canada","White",0
"1906",45,"Male",3,"Project Engineer",16,185000,"UK","Welsh",1
"1907",29,"Female",1,"Front end Developer",NA,90000,"Australia","Asian",0
"1908",39,"Female",2,"Software Engineer Manager",NA,160000,"China","Chinese",0
"1909",27,"Male",1,"Back end Developer",3,80000,"Australia","White",0
"1910",49,"Male",3,"Project Engineer",NA,195000,"USA","Asian",1
"1911",32,"Female",2,"Full Stack Engineer",6,115000,"China","Chinese",0
"1912",36,"Male",1,"Software Engineer Manager",8,135000,"USA","Hispanic",0
"1913",27,"Male",1,"Front end Developer",2,65000,"Australia","Australian",0
"1914",43,"Female",3,"Project Engineer",14,190000,"Canada","White",1
"1915",34,"Male",2,"Back end Developer",8,140000,"Australia","Australian",0
"1916",46,"Male",3,"Software Engineer Manager",16,185000,"UK","White",0
"1917",33,"Female",1,"NaN",NA,130000,"USA","Hispanic",0
"1918",30,"Female",2,"Front end Developer",5,105000,"UK","White",0
"1919",50,"Male",3,"Project Engineer",NA,NA,"China","Korean",1
"1920",30,"Male",1,"NaN",5,1e+05,"UK","Asian",0
"1921",42,"Male",2,"Software Engineer Manager",13,170000,"USA","White",0
"1922",33,"Female",1,"Full Stack Engineer",6,115000,"Australia","Asian",0
"1923",45,"Male",3,"Project Engineer",16,185000,"Australia","Australian",1
"1924",29,"Female",1,"Front end Developer",4,90000,"USA","White",0
"1925",39,"Female",2,"Software Engineer Manager",12,160000,"Canada","Black",0
"1926",27,"Male",1,"Back end Developer",NA,NA,"Canada","Black",0
"1927",49,"Male",3,"Project Engineer",17,195000,"USA","Asian",1
"1928",32,"Female",2,"Full Stack Engineer",6,115000,"Canada","Black",0
"1929",36,"Male",1,"NaN",8,135000,"USA","Asian",0
"1930",27,"Male",1,"Front end Developer",NA,65000,"USA","White",0
"1931",43,"Female",3,"Project Engineer",14,190000,"Australia","Asian",1
"1932",34,"Male",2,"Back end Developer",8,140000,"Canada","White",0
"1933",46,"Male",3,"Software Engineer Manager",16,185000,"Canada","White",0
"1934",33,"Female",1,"NaN",NA,130000,"Canada","Asian",0
"1935",30,"Female",2,"Front end Developer",5,105000,"UK","Asian",0
"1936",50,"Male",3,"Project Engineer",19,2e+05,"Canada","Asian",1
"1937",30,"Male",1,"Back end Developer",5,1e+05,"China","White",0
"1938",42,"Male",2,"Software Engineer Manager",13,170000,"USA","African American",0
"1939",33,"Female",1,"Full Stack Engineer",6,115000,"Canada","Black",0
"1940",45,"Male",3,"Project Engineer",16,185000,"UK","Mixed",1
"1941",29,"Female",1,"Front end Developer",4,90000,"Canada","Black",0
"1942",39,"Female",2,"Software Engineer Manager",12,160000,"USA","Asian",0
"1943",27,"Male",1,"Back end Developer",3,80000,"USA","African American",0
"1944",49,"Male",3,"Project Engineer",17,195000,"Australia","White",1
"1945",32,"Female",2,"Full Stack Engineer",6,115000,"USA","African American",0
"1946",36,"Male",1,"Software Engineer Manager",8,135000,"Canada","Black",0
"1947",27,"Male",1,"Front end Developer",2,65000,"USA","White",0
"1948",43,"Female",3,"Project Engineer",14,190000,"China","Korean",1
"1949",34,"Male",2,"Back end Developer",8,140000,"USA","Hispanic",0
"1950",46,"Male",3,"Software Engineer Manager",16,185000,"Canada","Black",0
"1951",33,"Female",1,"Full Stack Engineer",7,130000,"Canada","Asian",0
"1952",30,"Female",2,"Front end Developer",5,105000,"Canada","White",0
"1953",50,"Male",3,"NaN",NA,NA,"Canada","White",1
"1954",30,"Male",1,"Back end Developer",NA,1e+05,"USA","Hispanic",0
"1955",42,"Male",2,"Software Engineer Manager",13,NA,"USA","Asian",0
